SMILES,CHANNEL_OUTCOME,assay_type
NC(=S)NN,inactive,Liver
CC(C)COC(=O)c1ccccc1,inactive,Liver
ClCCOCCOCCCl,agonist,Liver
Cc1cccc[n+]1CCCC.F[P-](F)(F)(F)(F)F,inactive,Liver
CCCC=C,inactive,Liver
OC(=O)C[C@H](O)[C@@H](NC(=O)[C@H](C)NC(=O)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)CC(C)C)C(C)C)C(C)C)CC(C)C,agonist,Liver
CC(C(\C)=N\OC(=O)NC)S(C)(=O)=O,agonist,Liver
O=C(c1ccc(cc1O)N(CCCC)CCCC)c2ccccc2C(=O)O,agonist,Liver
Cl.O=C(OCC)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N2Cc3cc(OC)c(OC)cc3C[C@H]2C(=O)O,inactive,Liver
ClCCN(CCCl)c1cc2nc(CCCC(=O)O)n(C)c2cc1,inactive,Liver
CC(C)CN(CC(C)C)C(=O)SCC,inactive,Liver
O=C1CCC(C)O1,inactive,Liver
O=[N+]([O-])c1ccc(O)cc1,inactive,Liver
CC(C)OC(C)C,inactive,Liver
O=C(O)C(O)C(O)C(O)=O,inactive,Liver
Clc1ccc(cc1Cl)C(=O)O,inactive,Liver
ClCc1c(F)cccc1Cl,inactive,Liver
[Na+].O=C1[N-]S(=O)(=O)c2ccccc12,inactive,Liver
CC1(N=C(NC1=O)c2ncc(COC)cc2C(=O)O)C(C)C,inactive,Liver
CCCCCCCCOC(=O)CCCCCCCCC(=O)OCCCCCCCC,inactive,Liver
Cl.c2cc(CC1=NCCN1)cc3ccccc23,inactive,Liver
O=S(=O)(O)O.CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12,inactive,Liver
O[C@H](CCn1c(c(c(c1C(C)C)C(=O)Nc2ccccc2)c3ccccc3)c4ccc(F)cc4)C[C@@H](O)CC(=O)O,agonist,Liver
[Na+].[O-][N+]([O-])=O,inactive,Liver
C[C@@]1(O[C@@H]1C\C=C(\C)C)[C@H]3[C@H](OC)[C@H](OC(=O)NC(=O)CCl)CC[C@@]23CO2,inactive,Liver
O=C1CCCCO1,inactive,Liver
O=S(CC(N)=O)C(c1ccccc1)c2ccccc2,inactive,Liver
Clc1c(O)c(Cl)c(Cl)c(Cl)c1Cl,inactive,Liver
Cl.Clc1ccc(cc1)C(c2ccccc2)N3CCN(CC3)CCOCCO,antagonist,Liver
Cl.Cl.NCCNc2cccc1ccccc12,antagonist,Liver
[I-].Cc1ccc[n+](CCCC)c1,antagonist,Liver
CC(C)NCC(O)c1ccc2ccccc2c1,inactive,Liver
Oc2cc3OC(=O)c1c4ccc(O)cc4oc1c3cc2,inactive,Liver
[I-].Cc1cccc[n+]1CCCC,antagonist,Liver
Cl/C(Cl)=C/C3C(C(=O)OCc2cccc(Oc1ccccc1)c2)C3(C)C,inactive,Liver
Clc2nc(NC1CC1)nc(NC(C)(C)C#N)n2,inactive,Liver
C[n+]1ccn(CC)c1.[O-]S(C)(=O)=O,inactive,Liver
CC(=C)C1CCC(C)CC1O,inactive,Liver
OC(=O)c1cc(ccc1O)c2ccc(F)cc2F,inactive,Liver
Cc1cccc(C)c1N,inactive,Liver
FC(F)(F)S(=O)(=O)O,inactive,Liver
O.CS(=O)(=O)O.C[C@H]1NCc2cc(ccc12)c3ccc4c(c3OC(F)F)N(C=C(C4=O)C(=O)O)C5CC5,inactive,Liver
O=C2C(CCCC)C(=O)NC(=O)N2C1CCCCC1,inactive,Liver
Oc1cc(cc(O)c1O)C(=O)O[C@@H]3Cc2c(cc(O)cc2O)O[C@@H]3c4cc(O)c(O)c(O)c4,antagonist,Liver
FC(F)(F)c1ccc(cc1)C(\CCCCOC)=N\OCCN,antagonist,Liver
CCC(Cl)[N+]([O-])=O,inactive,Liver
C#CC(O)CCCCC,inactive,Liver
CC(C)(COC(=O)c1ccccc1)COC(=O)c2ccccc2,inactive,Liver
CC3CCCCN3CCCOC(=O)c2ccc(OC1CCCCC1)cc2,antagonist,Liver
Cc2nc(NC(=O)NS(=O)(=O)c1ccccc1C(=O)OC)nc(OC)n2,inactive,Liver
CCCC[Sn](OC(=O)c1ccccc1)(CCCC)CCCC,antagonist,Liver
Cl.Cl.Cc2cc(nnc2NCCN1CCOCC1)c3ccccc3,inactive,Liver
[O-][N+]([O-])=O.Cc2nc(N)c(C[n+]1csc(CCO)c1C)cn2,inactive,Liver
[Na+].COc3c(OC)ccnc3CS(=O)c1[n-]c2ccc(cc2n1)OC(F)F,inactive,Liver
Clc1ccc(CCC(=O)C(C)(C)C)cc1,inactive,Liver
[Cl-].CN(C)c1ccc2nc3cc(C)c(N)cc3[s+]c2c1,antagonist,Liver
O=[N+]([O-])c1ccc(/C=N/NC(C)=O)o1,agonist,Liver
O=C2C=C(C)N(C)N2c1ccccc1,agonist,Liver
Cl.CCC(=O)N(C1CCN(CC1)C(C)Cc2ccccc2)c3ccccc3,inactive,Liver
CN(C)CCN(C)C,agonist,Liver
C=C(C)OC(C)=O,agonist,Liver
CN1CN(C)CN(C)C1,inactive,Liver
O=C1OC(=O)c2ccccc12,inactive,Liver
ClCC(=O)[C@@]3(OC(=O)CCC)[C@@H](C)C[C@H]2[C@@H]4CCC1=CC(=O)C=C[C@]1(C)[C@@]4(F)C(=O)C[C@@]23C,inactive,Liver
CCCCCCCCCCCCC1CO1,inactive,Liver
O=C(O)c1ccc(C)o1,inactive,Liver
OC(CCCN(C)N=O)c1cccnc1,inactive,Liver
CCN(CC)c1ccc(cc1)C=O,inactive,Liver
CC(CCCC)C(=O)O,antagonist,Liver
[Na+].[Na+].[O-]c4cc5Oc1cc([O-])ccc1C3(OC(=O)c2ccccc23)c5cc4,antagonist,Liver
C[Si](C)(O[Si](C)(C)C)O[Si](C)(C)C,inactive,Liver
Cl.Clc1ccc(cc1)C(=O)CN(C)CCCN3c4ccccc4CCc2ccccc23,agonist,Liver
[Na+].[Na+].[Na+].[Na+].[O-]S(=O)(=O)c4cc(c1ccc2c(cc(c3ccc4c1c23)S([O-])(=O)=O)S([O-])(=O)=O)S([O-])(=O)=O,inactive,Liver
CCC[N+]1(C)CCCCC1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,inactive,Liver
CC(C)CCOC(=O)CCC,agonist,Liver
CC(C)C(C)(N)C#N,inactive,Liver
ClCC(N)=O,inactive,Liver
Nc1ccncc1,inactive,Liver
CC=CC=O,inactive,Liver
Brc3ccc(CN2C(=O)c1ccc(Cl)cc1N(CC(=O)O)C2=O)c(F)c3,antagonist,Liver
OCC(COC(=O)CCN1CC1)(COC(=O)CCN2CC2)COC(=O)CCN3CC3,inactive,Liver
c2cc(OCC1CO1)ccc2C(c4ccc(OCC3CO3)cc4)C(c6ccc(OCC5CO5)cc6)c8ccc(OCC7CO7)cc8,inactive,Liver
Cc3cccc(C)c3NC(=O)CC12CCCN2CCC1,agonist,Liver
O.O.O[C@H]1[C@H](O[C@H](CO)[C@@H](O)[C@@H]1O)O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O,inactive,Liver
Cc1csc(C)c1N(C(C)COC)C(=O)CCl,agonist,Liver
Cc1ccc(cc1)C(=O)Cl,inactive,Liver
CCCC(CCC)C(=O)O,inactive,Liver
OC[C@H]1O[C@@H](OCCCCCCCC)[C@H](O)[C@@H](O)[C@@H]1O,inactive,Liver
C=C(C)C(=O)OCCCCCCOC(=O)C(=C)C,inactive,Liver
Cc1cc(C)c(N)cc1C,inactive,Liver
Cl.COc1c(cc(cc1OC)C(=O)NCc2ccc(OCCN(C)C)cc2)OC,inactive,Liver
CC(C)(C)c2cc(cc(C(C)c1cc(cc(c1O)C(C)(C)C)C(C)(C)C)c2O)C(C)(C)C,inactive,Liver
O=C(C)Nc1ccc(C)cc1C,inactive,Liver
N[C@@H]1CONC1=O,agonist,Liver
C\C(C)=C\CCC(C)CCOC(=O)C(C)C,inactive,Liver
[Na+].Cc1ccccc1S(=O)([O-])=O,inactive,Liver
Oc1ccc(cc1)C2(CCCCC2)c3ccc(O)cc3,agonist,Liver
CCCCCCCCCCCCCCC,inactive,Liver
FC(F)(F)C(Cl)OC(F)F,inactive,Liver
O=C2N=C(NC(=O)Nc1cccc(Cl)c1)N(C)C2,inactive,Liver
FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.C[n+]1ccn(CCCCCCCC)c1,agonist,Liver
OC[C@@H](O)[C@@H](O)CO,inactive,Liver
NCCNCCN,inactive,Liver
Brc1cc(Br)cc(Br)c1O,agonist,Liver
NC(N)=O.OO,antagonist,Liver
CC(C)N(C)C,inactive,Liver
C=COCCOCCOCCOC=C,inactive,Liver
C=CC(=O)CCCCC,inactive,Liver
FC(F)(F)c1cc2NCNS(=O)(=O)c2cc1S(N)(=O)=O,inactive,Liver
C\C(C)=C\CCC(C)=CC#N,inactive,Liver
O=C(Cl)c1cccc(c1)C(Cl)=O,inactive,Liver
O=C4Cc5cc(CCN1CCN(CC1)c3nsc2ccccc23)c(Cl)cc5N4,antagonist,Liver
O=C1c2n(C)cnc2NC(=O)N1C,inactive,Liver
O=C5Nc1ccccc1N5CCCN2CCN(CC2)C(c3ccccc3)c4ccccc4,antagonist,Liver
ClCCC(=O)NCCc1ccccc1,inactive,Liver
Cl.CN(C)CCOC(c1ccccc1)c2ccccc2C,inactive,Liver
Clc1c(C(=O)O)c(Cl)ccc1Cl,inactive,Liver
c1cccc2cnncc12,inactive,Liver
Clc1cc([N+]([O-])=O)c(Cl)cc1Cl,inactive,Liver
CCO[Si](OCC)(OCC)CCC\N=C=O,inactive,Liver
OC(=O)C2C(C1CCC2O1)C(=O)O,agonist,Liver
Oc1cc(C)c(O)c2ccccc12,antagonist,Liver
[Br-].CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC,antagonist,Liver
CC(=O)CCl,inactive,Liver
O=C2c1n(cnc1N(C)C(=O)N2C)CC3OCCO3,inactive,Liver
COc1c(OC)ccc2CC3N(Cc12)CCc4cc5OCOc5cc34,inactive,Liver
C[C@]5(O)CC[C@@H]4[C@]5(C)CC[C@H]1[C@H]4CC[C@H]2Cc3nonc3C[C@]12C,inactive,Liver
O=P(O)(OC)OC,inactive,Liver
Cl.N=C(N)NN,inactive,Liver
C=C[C@@H](C)CC\C=C(\C)C,inactive,Liver
CN1CCCC1,inactive,Liver
CC(C)(C)c1cccc(c1O)C(C)(C)C,agonist,Liver
C=2CC3C1C=CC(C1)C3C=2,inactive,Liver
Cl.CN3CCCN=C3COC(=O)C(O)(c1ccccc1)C2CCCCC2,inactive,Liver
CC(=O)CC(N)=O,inactive,Liver
NC(=O)N(O)[C@@H]2COc1cc(ccc12)OCc3ccccc3,agonist,Liver
CC(O)(P(O)(=O)O)P(=O)(O)O,inactive,Liver
Cl.FC(F)(F)c1cccc(c1)C3(O)CCN(CCCC(=O)c2ccc(F)cc2)CC3,agonist,Liver
O=C(Nc1c(C)cccc1C(=O)OC)CN(CC)CC,inactive,Liver
CN1CCN(CC1)C3=Nc4ccccc4Sc2ccc(Cl)cc23,inactive,Liver
C\C(C)=C\CCC(\C)=C\COC(=O)CCC,inactive,Liver
O=C1N=C(NC1(C)C(C)C)c2cc(C)ccc2C(=O)OC,inactive,Liver
Clc1ccccn1,inactive,Liver
CCOP(=O)(OCC)OCC,agonist,Liver
CC(C)c1ccc2ncccc2c1,inactive,Liver
[I-].CCN3c4ccccc4SC3=CC=Cc2sc1ccccc1[n+]2CC,antagonist,Liver
OB(O)O,inactive,Liver
O=C(O)CCCCCCCCCCCCCCCCC,agonist,Liver
F[P-](F)(F)(F)(F)F.C[N+]1(CC)CCCC1,agonist,Liver
Nc1ccc(cc1)S(=O)(=O)NC(=O)OC,inactive,Liver
[Na+].[Na+].O=C([O-])[C@@H]2N3C(=O)[C@@H](NC(=O)[C@@H](c1ccccc1)S([O-])(=O)=O)[C@H]3SC2(C)C,inactive,Liver
FC(F)(C(F)(F)S(N)(=O)=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,agonist,Liver
[Na+].Clc1ccc(s1)c6onc(Cn4c5ccc(cc5nc4C(=O)NC2CCN(CC2)C3CC3)C([O-])=O)c6,inactive,Liver
FCC(N)=O,inactive,Liver
O=C(O)C(=O)N(C(C)COC)c1c(C)cccc1CC,inactive,Liver
OC[P+](CO)(CO)CO.[O-]S([O-])(=O)=O.OC[P+](CO)(CO)CO,inactive,Liver
OCC(O)COC,inactive,Liver
Nc3nc(Cl)nc2c3ncn2[C@H]1C[C@H](O)[C@@H](CO)O1,inactive,Liver
Brc1cc(cnc1)C(=O)OC[C@@H]3C[C@]4(OC)c5cccc2c5c(cn2C)C[C@H]4N(C)C3,antagonist,Liver
FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.C[N+](C)(C)CCO,agonist,Liver
[I-].C[n+]1ccn(CCC)c1,antagonist,Liver
ClP(Cl)c1ccccc1,inactive,Liver
O=C(OCC)C1=C[C@@]5(CCCN4CCc3c(n1c2ccccc23)[C@@H]45)CC,agonist,Liver
CC(C)(CCC(O)=O)C(=O)O,inactive,Liver
ClCc1ccccc1Cl,inactive,Liver
[Br-].[Br-].C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,inactive,Liver
CN(C)CCOCCN(C)CCO,inactive,Liver
O=C(CCCCC)OCC/C=C\CC,antagonist,Liver
O=C(C)Nc1ncc(s1)[N+]([O-])=O,agonist,Liver
[Mn+2].[O-]C(C)=O.[O-]C(C)=O,antagonist,Liver
NNC(=O)OCc1ccccc1,inactive,Liver
Cc3nn(C)c(Oc1ccccc1)c3/C=N/OCc2ccc(cc2)C(=O)OC(C)(C)C,inactive,Liver
Clc3ccc(CCC(Cn1cncn1)(C#N)c2ccccc2)cc3,antagonist,Liver
NC(=O)C=3C(=O)[C@@]4(O)C(O)=C2C(=O)c1c(O)cccc1[C@@](C)(O)[C@H]2[C@H](O)[C@H]4[C@@H](C=3O)N(C)C,antagonist,Liver
ClCC(OP(=O)(OC(CCl)CCl)OC(CCl)CCl)CCl,inactive,Liver
Cc1cccc(C)c1C,inactive,Liver
CCN(CC)CCOCCOC(=O)C1(CCCC1)c2ccccc2,inactive,Liver
F[B-](F)(F)F.C[N+]1(CC)CCCC1,inactive,Liver
Clc1c(CC(=O)O)c(Cl)ccc1Cl,inactive,Liver
[K+].CC1=CC(=O)[N-]S(=O)(=O)O1,inactive,Liver
Cc1cccc(N)c1N,inactive,Liver
CN1CCN(CC1)c2cc3N(C)c4ccccc4Oc3nn2,inactive,Liver
CC1=CC(C)=NC(=O)N1.[O-][N+](=O)c1ccc(cc1)NC(=O)Nc2ccc(cc2)[N+]([O-])=O,agonist,Liver
O=C(Cl)c1c(Cl)cccc1Cl,inactive,Liver
CC1=CCC(=O)O1,inactive,Liver
OC(CNC(C)Cc1ccc(OCC(=O)O)cc1)c2csc(n2)C(F)(F)F,inactive,Liver
CCCCCCCCCCCl,inactive,Liver
O=C(OCC)c2c1cc(O)ccc1n(C)c2C,inactive,Liver
[K+].[O-]C(=O)c1ccccc1,agonist,Liver
O=CC1CC=CCC1,inactive,Liver
Brc1cc(cc(Br)c1N)[N+]([O-])=O,inactive,Liver
Clc1cc(Cl)c(Cl)nc1OP(=S)(OCC)OCC,agonist,Liver
O=C(C)O[Si](OC(C)=O)(OC(=O)C)CC,inactive,Liver
Clc1nc(NCC)nc(NC(C)C)n1,inactive,Liver
C\C=C\C=C\C=O,inactive,Liver
CC(C)(C)c1cc(cc(c1O)C(C)(C)C)OC,agonist,Liver
O=C(Oc1cccc2cccnc12)c3ccccc3,agonist,Liver
Clc2ccccc2C(C(Cl)Cl)c1ccc(Cl)cc1,antagonist,Liver
Oc1ccc(cc1O)[C@H]2Oc3cc(O)cc(O)c3C[C@H]2O,inactive,Liver
OP(=O)(O)SCCNCCCN,inactive,Liver
O=C(O)c1ccc(cc1)C(=C)c2cc3c(cc2C)C(C)(C)CCC3(C)C,antagonist,Liver
Oc1ccc(cc1NC(C)=O)[As](O)(O)=O,inactive,Liver
Nc1nc(ccc1NC(=O)OCC)NCc2ccc(F)cc2.O=C(O)/C=C\C(=O)O,inactive,Liver
Cc1nc(nc(OC)n1)N(C)C(=O)NS(=O)(=O)c2ccccc2C(=O)OC,inactive,Liver
CCC(\C)=N\O[Si](C)(O\N=C(/C)CC)O\N=C(/C)CC,inactive,Liver
O=C(C)Oc1ccc(cc1)/C(=C\C)C(=C\C)\c2ccc(OC(C)=O)cc2,inactive,Liver
CCCCC#N,inactive,Liver
Clc1c(C#N)c(Cl)c(C#N)c(Cl)c1Cl,antagonist,Liver
Fc1ccc(cc1)Cn2c3ccccc3nc2N,agonist,Liver
Cc1cccc(C)c1,inactive,Liver
Cc1[n+](CCC)ccn1C.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,inactive,Liver
CC(O)CN,inactive,Liver
Fc1ccc(cc1Cl)Nc2ncnc3cc(OC)c(cc23)OCCCN4CCOCC4,antagonist,Liver
[Na+].CC/[N+](Cc1cccc(c1)S([O-])(=O)=O)=C2\C=C/C(C=C2)=C(/c3ccccc3)c4ccc(cc4)N(Cc5cccc(c5)S([O-])(=O)=O)CC,antagonist,Liver
C1CC(CCC1)C2CCCCC2,inactive,Liver
CC(C)CCC(=O)CCC(C)C,inactive,Liver
Nc1c(cccc1CC(N)=O)C(=O)c2ccccc2,inactive,Liver
[Na+].OC(C)(C)c1coc(c1)S(=O)(=O)[N-]C(=O)Nc2c(cccc2C(C)C)C(C)C,inactive,Liver
O=C4c1ccccc1S(=O)(=O)N4CCCCN2CCN(CC2)c3ncccn3,inactive,Liver
[K+].[S-]C(=S)OCC,agonist,Liver
Brc1cc(cc(Br)c1OCC=C)C(C)(C)c2cc(Br)c(OCC=C)c(Br)c2,inactive,Liver
OC[C@@H](O)[C@@H](O)[C@@H](O)CN2C3=NC(=O)NC(=O)C3=Nc1cc(C)c(C)cc12,agonist,Liver
[Na+].O=C(C)Nc1c(I)c(c(I)c(c1I)C([O-])=O)C(=O)NC,inactive,Liver
O=S(=O)(O)c1cc(O)c2cc(N)ccc2c1,inactive,Liver
Cl.OC1(CCCC1)C(C(=O)OCCN(C)C)c2ccccc2,inactive,Liver
Oc1c(Cl)c(Cl)cc(Cl)c1Cl,inactive,Liver
Cl.COc2cc(OC)cc(OC)c2C(=O)CCCN1CCCC1,inactive,Liver
[Na+].[Na+].[O-]S(=O)(=O)c1ccc(cc1)/N=N/C2C(=O)N(N=C2C)c3cc(Cl)c(cc3Cl)S([O-])(=O)=O,antagonist,Liver
O=C(NC1CCCCC1)NS(=O)(=O)c2ccc(cc2)CCN4C(=O)c3cc(ccc3C(C)(C)C4=O)OC,inactive,Liver
O[C@@H]3C(C)=C[C@H]5C(=O)O[C@H]1C[C@H](O[C@]2(C1)CC[C@H](C)[C@@H](CC)O2)CC=C(C)C[C@@H](C)C=CC=C4CO[C@H]3[C@@]45O,antagonist,Liver
CN(C)N,agonist,Liver
Oc1ccc(cc1)C=2CNC(=O)c3c(N=2)c(C)nn3CC,inactive,Liver
C\C(C)=C\CCC(\C)=C\CO,inactive,Liver
OCCOCCN1CCN(CC1)C3=Nc4ccccc4Sc2ccccc23,inactive,Liver
O=C1CCCN1C=C,inactive,Liver
CCCSP(=O)(SCCC)OCC,antagonist,Liver
Cc1cnc(C)c(C)n1,inactive,Liver
Cl.CC3(C)OC[C@@H](COC(=O)CCc2ccc(OC[C@@H](O)CNCCNC(=O)N1CCOCC1)cc2)O3,inactive,Liver
Cl.ClCCN(C)C,inactive,Liver
Clc1c(cccc1Cl)C(=O)O,inactive,Liver
C1CCC2=NCCCN2CC1,inactive,Liver
[Br-].OC[C@H](c1ccccc1)C(=O)O[C@@H]2C[C@@H]3[C@H]4O[C@H]4[C@H](C2)[N+]3(C)C,inactive,Liver
CC(O)COCCC,inactive,Liver
Clc1ccccc1CC(C)(C)N,inactive,Liver
CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n2ccnc2,inactive,Liver
Cl.CN(C)CCCN1c3ccccc3Sc2ccccc12,agonist,Liver
Oc1cc(O)c(Cl)cc1Cl,inactive,Liver
[O-][N+](=O)C(Br)(CO)CO,antagonist,Liver
[Ca+2].O[C@H](CCn1c(c(c(c1C(C)C)C(=O)Nc2ccccc2)c3ccccc3)c4ccc(F)cc4)C[C@@H](O)CC([O-])=O.[O-]C(=O)C[C@H](O)C[C@H](O)CCn4c(c1ccc(F)cc1)c(c2ccccc2)c(C(=O)Nc3ccccc3)c4C(C)C,antagonist,Liver
OCC(O)COC(=O)c3ccccc3Nc1ccnc2c(cccc12)C(F)(F)F,inactive,Liver
O(P(Oc1ccccc1)Oc2ccccc2)c3ccccc3,inactive,Liver
O=C(O)[C@H](CC(=O)O)NC(=O)OCc1ccccc1,inactive,Liver
CS(=O)C2=CN(C)c1cc(F)ccc1C2=O,inactive,Liver
CCCC[Sn](Cl)(CCCC)CCCC,antagonist,Liver
CCCC[N+]1(C)CCCC1.FC(F)(F)S([O-])(=O)=O,inactive,Liver
Clc1ccc(cc1Cl)[N+]([O-])=O,inactive,Liver
[Br-].CCCCCC[P+](CCCCCC)(CCCCCC)CCCCCCCCCCCCCC,antagonist,Liver
CC1=CC[C@]23CC1C(C)(C)[C@@H]3CC[C@H]2C,antagonist,Liver
Nc1ccc(O)cc1,antagonist,Liver
Oc1ccc(cc1)C(=O)OCCCCCCCCCCCC,inactive,Liver
Oc1cc(ccc1)c2ccccc2,inactive,Liver
CC(=O)O.NC(=O)CNC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]1CCCN1C(=O)[C@@H]4CSSCCC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc3ccccc3)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N4,inactive,Liver
CC(=O)OCC(=O)[C@@]4(O)CC[C@@H]3[C@]4(C)C[C@H](O)[C@@]2(F)[C@H]3CCC1=CC(=O)C=C[C@@]12C,antagonist,Liver
CC(C)COC(=O)CCCCC(=O)OCC(C)C,inactive,Liver
[O-][N+](=O)CC,inactive,Liver
O=C(O)c1cccc(c1)c2nc(on2)c3ccccc3F,inactive,Liver
O[C@H](COC(=O)CCCCCCC/C=C\CCCCCCCC)[C@H]1OC[C@H](O)[C@H]1O,inactive,Liver
Clc1cc(C)c(OC(C)C(=O)O)cc1,agonist,Liver
N[C@@H](CCCNC(\N)=N\[N+]([O-])=O)C(=O)OC,inactive,Liver
[Na+].[Na+].[O-]c2c(Sc1cc(Cl)cc(Cl)c1[O-])cc(Cl)cc2Cl,agonist,Liver
C=CC(=O)OCCCC,inactive,Liver
Cc2cccc(C)c2NC1=NCCCS1,inactive,Liver
Clc1ccc(cc1Cl)C(F)(F)F,inactive,Liver
OCCc1scnc1C,inactive,Liver
Cl.CN(C)CCCN1c3ccccc3Sc2ccc(Cl)cc12,antagonist,Liver
O=[N+]([O-])c1cc(cc(c1)C(=O)O)C(=O)O,inactive,Liver
CCCCCCCC#N,inactive,Liver
CC(CCC)C(O)CC,inactive,Liver
O=S(=O)(O)c1ccc(cc1)N2N=C(C)CC2=O,inactive,Liver
O[C@H]2[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@@H](CO)O[C@@H](O)[C@@H]2O,inactive,Liver
O=C(OCC)c3ncn2c3CN(C)C(=O)c1cc(F)ccc12,inactive,Liver
OCCCCO,inactive,Liver
CC(=O)CC(C)(C)OC,inactive,Liver
F[B-](F)(F)F.C[N+]1(CCCC)CCCCC1,inactive,Liver
Cc1cccc(CC)c1,inactive,Liver
